Locus Tag,Locus_Tag,Gene Name,Product Description,GO Term
PFLU0001,PFLU_0001,dnaA,chromosomal replication initiation protein,DNA binding
PFLU0001,PFLU_0001,dnaA,chromosomal replication initiation protein,DNA replication origin binding
PFLU0001,PFLU_0001,dnaA,chromosomal replication initiation protein,ATP binding
PFLU0001,PFLU_0001,dnaA,chromosomal replication initiation protein,DNA replication initiation
PFLU0001,PFLU_0001,dnaA,chromosomal replication initiation protein,regulation of DNA replication
PFLU0001,PFLU_0001,dnaA,chromosomal replication initiation protein,sequence-specific DNA binding
PFLU0002,PFLU_0002,dnaN,DNA polymerase III subunit beta,DNA binding
PFLU0002,PFLU_0002,dnaN,DNA polymerase III subunit beta,DNA-directed DNA polymerase activity
PFLU0002,PFLU_0002,dnaN,DNA polymerase III subunit beta,DNA replication
PFLU0002,PFLU_0002,dnaN,DNA polymerase III subunit beta,3'-5' exonuclease activity
PFLU0002,PFLU_0002,dnaN,DNA polymerase III subunit beta,DNA polymerase III complex
PFLU0003,PFLU_0003,recF,recombination protein F,single-stranded DNA binding
PFLU0003,PFLU_0003,recF,recombination protein F,ATP binding
PFLU0003,PFLU_0003,recF,recombination protein F,DNA repair
PFLU0004,PFLU_0004,gyrB,DNA gyrase subunit B,DNA binding
PFLU0004,PFLU_0004,gyrB,DNA gyrase subunit B,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity"
PFLU0004,PFLU_0004,gyrB,DNA gyrase subunit B,ATP binding
PFLU0004,PFLU_0004,gyrB,DNA gyrase subunit B,DNA topological change
PFLU0004,PFLU_0004,gyrB,DNA gyrase subunit B,chromosome
PFLU0005,PFLU_0005,PFLU_0005,putative two-component system response regulator,phosphorelay signal transduction system
PFLU0005,PFLU_0005,PFLU_0005,putative two-component system response regulator,DNA binding
PFLU0005,PFLU_0005,PFLU_0005,putative two-component system response regulator,"regulation of transcription, DNA-templated"
PFLU0007,PFLU_0007,PFLU_0007,putative two-component system sensor kinase,phosphorelay sensor kinase activity
PFLU0007,PFLU_0007,PFLU_0007,putative two-component system sensor kinase,signal transduction
PFLU0007,PFLU_0007,PFLU_0007,putative two-component system sensor kinase,phosphorylation
PFLU0007,PFLU_0007,PFLU_0007,putative two-component system sensor kinase,"transferase activity, transferring phosphorus-containing groups"
PFLU0008,PFLU_0008,PFLU_0008,putative phospholipid biosynthesis-related acyltransferase,"transferase activity, transferring acyl groups"
PFLU0009,PFLU_0009,gmhB,"D,D-heptose 1,7-bisphosphate phosphatase",phosphatase activity
PFLU0009,PFLU_0009,gmhB,"D,D-heptose 1,7-bisphosphate phosphatase",carbohydrate metabolic process
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,nucleotide binding
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,glycine-tRNA ligase activity
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,ATP binding
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,cytoplasm
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,glycyl-tRNA aminoacylation
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,arginine-tRNA ligase activity
PFLU0010,PFLU_0010,glyS,glycyl-tRNA synthetase subunit beta,arginyl-tRNA aminoacylation
PFLU0011,PFLU_0011,glyQ,glycyl-tRNA synthetase subunit alpha,nucleotide binding
PFLU0011,PFLU_0011,glyQ,glycyl-tRNA synthetase subunit alpha,glycine-tRNA ligase activity
PFLU0011,PFLU_0011,glyQ,glycyl-tRNA synthetase subunit alpha,ATP binding
PFLU0011,PFLU_0011,glyQ,glycyl-tRNA synthetase subunit alpha,cytoplasm
PFLU0011,PFLU_0011,glyQ,glycyl-tRNA synthetase subunit alpha,glycyl-tRNA aminoacylation
PFLU0012,PFLU_0012,PFLU_0012,putative DNA-3-methyladenine glycosidase I,base-excision repair
PFLU0012,PFLU_0012,PFLU_0012,putative DNA-3-methyladenine glycosidase I,DNA-3-methyladenine glycosylase activity
PFLU0012,PFLU_0012,PFLU_0012,putative DNA-3-methyladenine glycosidase I,catalytic activity
PFLU0012,PFLU_0012,PFLU_0012,putative DNA-3-methyladenine glycosidase I,DNA repair
PFLU0013,PFLU_0013,htrB,lipid A biosynthesis lauroyl acyltransferase,integral component of membrane
PFLU0013,PFLU_0013,htrB,lipid A biosynthesis lauroyl acyltransferase,transferase activity
PFLU0014,PFLU_0014,PFLU_0014,hypothetical protein,protein binding
PFLU0015,PFLU_0015,trkA,potassium transporter peripheral membrane component,potassium ion transport
PFLU0015,PFLU_0015,trkA,potassium transporter peripheral membrane component,plasma membrane
PFLU0015,PFLU_0015,trkA,potassium transporter peripheral membrane component,potassium ion transmembrane transporter activity
PFLU0015,PFLU_0015,trkA,potassium transporter peripheral membrane component,cation transmembrane transporter activity
PFLU0016,PFLU_0016,rsmB,ribosomal RNA small subunit methyltransferase B,rRNA processing
PFLU0016,PFLU_0016,rsmB,ribosomal RNA small subunit methyltransferase B,rRNA methyltransferase activity
PFLU0016,PFLU_0016,rsmB,ribosomal RNA small subunit methyltransferase B,methyltransferase activity
PFLU0016,PFLU_0016,rsmB,ribosomal RNA small subunit methyltransferase B,RNA binding
PFLU0016,PFLU_0016,rsmB,ribosomal RNA small subunit methyltransferase B,"regulation of transcription, DNA-templated"
PFLU0017,PFLU_0017,fmt,methionyl-tRNA formyltransferase,biosynthetic process
PFLU0017,PFLU_0017,fmt,methionyl-tRNA formyltransferase,"hydroxymethyl-, formyl- and related transferase activity"
PFLU0017,PFLU_0017,fmt,methionyl-tRNA formyltransferase,catalytic activity
PFLU0017,PFLU_0017,fmt,methionyl-tRNA formyltransferase,methionyl-tRNA formyltransferase activity
PFLU0017,PFLU_0017,fmt,methionyl-tRNA formyltransferase,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
PFLU0020,PFLU_0020,PFLU_0020,hypothetical protein,DNA mediated transformation
PFLU0021,PFLU_0021,PFLU_0021,hypothetical protein,tRNA threonylcarbamoyladenosine modification
PFLU0021,PFLU_0021,PFLU_0021,hypothetical protein,ATP binding
PFLU0021,PFLU_0021,PFLU_0021,hypothetical protein,double-stranded RNA binding
PFLU0022,PFLU_0022,qor,quinone oxidoreductase,oxidoreductase activity
PFLU0022,PFLU_0022,qor,quinone oxidoreductase,oxidation-reduction process
PFLU0022,PFLU_0022,qor,quinone oxidoreductase,zinc ion binding
PFLU0023,PFLU_0023,hemF,coproporphyrinogen III oxidase,coproporphyrinogen oxidase activity
PFLU0023,PFLU_0023,hemF,coproporphyrinogen III oxidase,porphyrin-containing compound biosynthetic process
PFLU0023,PFLU_0023,hemF,coproporphyrinogen III oxidase,oxidation-reduction process
PFLU0024,PFLU_0024,aroE,shikimate 5-dehydrogenase,shikimate 3-dehydrogenase (NADP+) activity
PFLU0024,PFLU_0024,aroE,shikimate 5-dehydrogenase,shikimate metabolic process
PFLU0024,PFLU_0024,aroE,shikimate 5-dehydrogenase,NADP binding
PFLU0024,PFLU_0024,aroE,shikimate 5-dehydrogenase,oxidation-reduction process
PFLU0025,PFLU_0025,PFLU_0025,putative ABC transporter permease,sulfate transport
PFLU0025,PFLU_0025,PFLU_0025,putative ABC transporter permease,sulfate transmembrane transporter activity
PFLU0025,PFLU_0025,PFLU_0025,putative ABC transporter permease,integral component of membrane
PFLU0026,PFLU_0026,PFLU_0026,putative ABC transporter substrate-binding protein,choline transport
PFLU0026,PFLU_0026,PFLU_0026,putative ABC transporter substrate-binding protein,choline binding
PFLU0026,PFLU_0026,PFLU_0026,putative ABC transporter substrate-binding protein,periplasmic space
PFLU0026,PFLU_0026,PFLU_0026,putative ABC transporter substrate-binding protein,transmembrane transporter activity
PFLU0026,PFLU_0026,PFLU_0026,putative ABC transporter substrate-binding protein,ATP-binding cassette (ABC) transporter complex
PFLU0026,PFLU_0026,PFLU_0026,putative ABC transporter substrate-binding protein,transmembrane transport
PFLU0027,PFLU_0027,PFLU_0027,putative choline sulfatase,catalytic activity
PFLU0027,PFLU_0027,PFLU_0027,putative choline sulfatase,sulfuric ester hydrolase activity
PFLU0028,PFLU_0028,PFLU_0028,LysR family transcriptional regulator,DNA-binding transcription factor activity
PFLU0028,PFLU_0028,PFLU_0028,LysR family transcriptional regulator,"regulation of transcription, DNA-templated"
PFLU0030,PFLU_0030,PFLU_0030,putative 2-dehydro-3-deoxygalactonokinase,2-dehydro-3-deoxygalactonokinase activity
PFLU0030,PFLU_0030,PFLU_0030,putative 2-dehydro-3-deoxygalactonokinase,D-galactonate catabolic process
PFLU0031,PFLU_0031,PFLU_0031,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,lyase activity
PFLU0031,PFLU_0031,PFLU_0031,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,catalytic activity
PFLU0032,PFLU_0032,dgoD,galactonate dehydratase,cellular amino acid catabolic process
PFLU0032,PFLU_0032,dgoD,galactonate dehydratase,galactonate dehydratase activity
PFLU0032,PFLU_0032,dgoD,galactonate dehydratase,D-galactonate catabolic process
PFLU0033,PFLU_0033,dgoT,D-galactonate transporter,integral component of plasma membrane
PFLU0033,PFLU_0033,dgoT,D-galactonate transporter,transmembrane transport
PFLU0033,PFLU_0033,dgoT,D-galactonate transporter,integral component of membrane
PFLU0033,PFLU_0033,dgoT,D-galactonate transporter,transmembrane transporter activity
PFLU0035,PFLU_0035,trpA,tryptophan synthase subunit alpha,catalytic activity
PFLU0035,PFLU_0035,trpA,tryptophan synthase subunit alpha,tryptophan synthase activity
PFLU0035,PFLU_0035,trpA,tryptophan synthase subunit alpha,tryptophan metabolic process
PFLU0036,PFLU_0036,trpB,tryptophan synthase subunit beta,tryptophan synthase activity
PFLU0036,PFLU_0036,trpB,tryptophan synthase subunit beta,tryptophan metabolic process
PFLU0036,PFLU_0036,trpB,tryptophan synthase subunit beta,tryptophan biosynthetic process
PFLU0037,PFLU_0037,trpI,HTH-type transcriptional regulator trpI (trpBA operon transcriptional activator),DNA-binding transcription factor activity
PFLU0037,PFLU_0037,trpI,HTH-type transcriptional regulator trpI (trpBA operon transcriptional activator),"regulation of transcription, DNA-templated"
PFLU0038,PFLU_0038,PFLU_0038,hypothetical protein,ribosome binding
PFLU0041,PFLU_0041,PFLU_0041,putative oxidoreductase,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
PFLU0041,PFLU_0041,PFLU_0041,putative oxidoreductase,oxidation-reduction process
PFLU0042,PFLU_0042,osmC,osmotically inducible protein c,peroxidase activity
PFLU0042,PFLU_0042,osmC,osmotically inducible protein c,response to oxidative stress
PFLU0048,PFLU_0048,prlC,oligopeptidase A,metalloendopeptidase activity
PFLU0048,PFLU_0048,prlC,oligopeptidase A,proteolysis
PFLU0050,PFLU_0050,PFLU_0050,hypothetical protein,protein tyrosine phosphatase activity
PFLU0050,PFLU_0050,PFLU_0050,hypothetical protein,dephosphorylation
PFLU0050,PFLU_0050,PFLU_0050,hypothetical protein,phosphatase activity
PFLU0052,PFLU_0052,PFLU_0052,putative dehydrogenase,"oxidoreductase activity, acting on CH-OH group of donors"
PFLU0052,PFLU_0052,PFLU_0052,putative dehydrogenase,flavin adenine dinucleotide binding
PFLU0052,PFLU_0052,PFLU_0052,putative dehydrogenase,oxidation-reduction process
PFLU0053,PFLU_0053,adhB,alcohol dehydrogenase cytochrome C subunit,iron ion binding
PFLU0053,PFLU_0053,adhB,alcohol dehydrogenase cytochrome C subunit,membrane
PFLU0053,PFLU_0053,adhB,alcohol dehydrogenase cytochrome C subunit,"oxidoreductase activity, acting on CH-OH group of donors"
PFLU0053,PFLU_0053,adhB,alcohol dehydrogenase cytochrome C subunit,heme binding
PFLU0053,PFLU_0053,adhB,alcohol dehydrogenase cytochrome C subunit,electron transfer activity
PFLU0054,PFLU_0054,PFLU_0054,hypothetical protein,catalytic activity
PFLU0054,PFLU_0054,PFLU_0054,hypothetical protein,iron-sulfur cluster binding
PFLU0055,PFLU_0055,cynT2,carbonic anhydrase 1,carbonate dehydratase activity
PFLU0055,PFLU_0055,cynT2,carbonic anhydrase 1,zinc ion binding
PFLU0055,PFLU_0055,cynT2,carbonic anhydrase 1,carbon utilization
PFLU0056,PFLU_0056,PFLU_0056,putative transporter-like membrane protein,sulfate transport
PFLU0056,PFLU_0056,PFLU_0056,putative transporter-like membrane protein,sulfate transmembrane transporter activity
PFLU0056,PFLU_0056,PFLU_0056,putative transporter-like membrane protein,integral component of membrane
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,integral component of membrane
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,electron transport chain
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,cytochrome-c oxidase activity
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,copper ion binding
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,membrane
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,electron transfer activity
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,heme binding
PFLU0058,PFLU_0058,PFLU_0058,putative cytochrome C oxidase subunit II,oxidoreductase activity
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,oxidation-reduction process
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,cytochrome-c oxidase activity
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,aerobic respiration
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,integral component of membrane
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,heme binding
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,respiratory chain complex IV
PFLU0059,PFLU_0059,PFLU_0059,putative cytochrome C oxydase subunit I,electron transport coupled proton transport
PFLU0060,PFLU_0060,PFLU_0060,cytochrome C oxidase assembly protein,copper ion binding
PFLU0061,PFLU_0061,PFLU_0061,putative cytochrome C oxidase subunit III,heme-copper terminal oxidase activity
PFLU0061,PFLU_0061,PFLU_0061,putative cytochrome C oxidase subunit III,membrane
PFLU0061,PFLU_0061,PFLU_0061,putative cytochrome C oxidase subunit III,cytochrome-c oxidase activity
PFLU0061,PFLU_0061,PFLU_0061,putative cytochrome C oxidase subunit III,respiratory electron transport chain
PFLU0063,PFLU_0063,PFLU_0063,hypothetical protein,membrane
PFLU0065,PFLU_0065,PFLU_0065,hypothetical protein,heme a biosynthetic process
PFLU0065,PFLU_0065,PFLU_0065,hypothetical protein,integral component of membrane
PFLU0065,PFLU_0065,PFLU_0065,hypothetical protein,"oxidoreductase activity, acting on the CH-CH group of donors"
PFLU0065,PFLU_0065,PFLU_0065,hypothetical protein,oxidation-reduction process
