Geneid	Chr	Start	End	Strand	Length	Mnt_Ac4_S8
PFLU_0001	NC_012660.1	1	1503	+	1503	1379
PFLU_0002	NC_012660.1	1545	2645	+	1101	1548
PFLU_0003	NC_012660.1	2669	3769	+	1101	759
PFLU_0004	NC_012660.1	3777	6191	+	2415	1205
PFLU_0005	NC_012660.1	6302	7021	-	720	470
PFLU_0006	NC_012660.1	7284	8237	+	954	148
PFLU_0007	NC_012660.1	8244	10520	+	2277	250
PFLU_0008	NC_012660.1	10709	11476	-	768	266
PFLU_0009	NC_012660.1	11562	12095	-	534	988
PFLU_0010	NC_012660.1	12101	14152	-	2052	1481
PFLU_0011	NC_012660.1	14152	15102	-	951	736
PFLU_0012	NC_012660.1	15184	15738	+	555	124
PFLU_0013	NC_012660.1	15784	16668	+	885	435
PFLU_0014	NC_012660.1	16809	17117	-	309	39
PFLU_0015	NC_012660.1	17261	18631	-	1371	418
PFLU_0016	NC_012660.1	18657	19964	-	1308	174
PFLU_0017	NC_012660.1	19964	20914	-	951	73
PFLU_0018	NC_012660.1	20987	21490	-	504	769
PFLU_0019	NC_012660.1	21626	22414	+	789	44
PFLU_0020	NC_012660.1	22481	23572	+	1092	1192
PFLU_0021	NC_012660.1	23630	24184	+	555	776
PFLU_0022	NC_012660.1	24338	25312	-	975	867
PFLU_0023	NC_012660.1	25472	26401	+	930	246
PFLU_0024	NC_012660.1	26404	27219	+	816	306
PFLU_0025	NC_012660.1	27277	28842	-	1566	325
PFLU_0026	NC_012660.1	28943	29854	-	912	135
PFLU_0027	NC_012660.1	29876	31387	-	1512	125
PFLU_0028	NC_012660.1	31491	32438	+	948	160
PFLU_0029	NC_012660.1	32455	32799	+	345	109
PFLU_0030	NC_012660.1	32899	33855	+	957	260
PFLU_0031	NC_012660.1	33860	34477	+	618	132
PFLU_0032	NC_012660.1	34529	35674	+	1146	133
PFLU_0033	NC_012660.1	35793	37100	+	1308	58
PFLU_0034	NC_012660.1	37289	37726	-	438	193
PFLU_0035	NC_012660.1	37866	38672	-	807	785
PFLU_0036	NC_012660.1	38675	39898	-	1224	306
PFLU_0037	NC_012660.1	40009	40902	+	894	203
PFLU_0038	NC_012660.1	40920	41243	-	324	2435
PFLU_0039	NC_012660.1	41398	41610	+	213	1087
PFLU_0040	NC_012660.1	41729	41953	+	225	3759
PFLU_0041	NC_012660.1	42111	43109	-	999	1070
PFLU_0042	NC_012660.1	43328	43756	+	429	9913
PFLU_0043	NC_012660.1	43967	44203	+	237	293
PFLU_0044	NC_012660.1	44210	44629	-	420	325
PFLU_0045	NC_012660.1	44773	45813	+	1041	216
PFLU_0046	NC_012660.1	45904	46560	-	657	160
PFLU_0047	NC_012660.1	46560	47099	-	540	128
PFLU_0048	NC_012660.1	47193	49250	+	2058	2011
PFLU_0049	NC_012660.1	49250	49522	+	273	358
PFLU_0050	NC_012660.1	49602	50264	-	663	38
PFLU_0051	NC_012660.1	50529	51278	+	750	111
