Geneid	Chr	Start	End	Strand	Length	unmapped_Ac/bam/sorted/VG1_S1
PFLU_0001	NC_012660.1	1	1503	+	1503	561
PFLU_0002	NC_012660.1	1545	2645	+	1101	419
PFLU_0003	NC_012660.1	2669	3769	+	1101	409
PFLU_0004	NC_012660.1	3777	6191	+	2415	635
PFLU_0005	NC_012660.1	6302	7021	-	720	194
PFLU_0006	NC_012660.1	7284	8237	+	954	110
PFLU_0007	NC_012660.1	8244	10520	+	2277	81
PFLU_0008	NC_012660.1	10709	11476	-	768	106
PFLU_0009	NC_012660.1	11562	12095	-	534	134
PFLU_0010	NC_012660.1	12101	14152	-	2052	330
PFLU_0011	NC_012660.1	14152	15102	-	951	240
PFLU_0012	NC_012660.1	15184	15738	+	555	41
PFLU_0013	NC_012660.1	15784	16668	+	885	112
PFLU_0014	NC_012660.1	16809	17117	-	309	8
PFLU_0015	NC_012660.1	17261	18631	-	1371	74
PFLU_0016	NC_012660.1	18657	19964	-	1308	43
PFLU_0017	NC_012660.1	19964	20914	-	951	30
PFLU_0018	NC_012660.1	20987	21490	-	504	237
PFLU_0019	NC_012660.1	21626	22414	+	789	16
PFLU_0020	NC_012660.1	22481	23572	+	1092	131
PFLU_0021	NC_012660.1	23630	24184	+	555	75
PFLU_0022	NC_012660.1	24338	25312	-	975	97
PFLU_0023	NC_012660.1	25472	26401	+	930	79
PFLU_0024	NC_012660.1	26404	27219	+	816	40
PFLU_0025	NC_012660.1	27277	28842	-	1566	44
PFLU_0026	NC_012660.1	28943	29854	-	912	22
PFLU_0027	NC_012660.1	29876	31387	-	1512	19
PFLU_0028	NC_012660.1	31491	32438	+	948	28
PFLU_0029	NC_012660.1	32455	32799	+	345	17
PFLU_0030	NC_012660.1	32899	33855	+	957	34
PFLU_0031	NC_012660.1	33860	34477	+	618	8
PFLU_0032	NC_012660.1	34529	35674	+	1146	24
PFLU_0033	NC_012660.1	35793	37100	+	1308	11
PFLU_0034	NC_012660.1	37289	37726	-	438	12
PFLU_0035	NC_012660.1	37866	38672	-	807	110
PFLU_0036	NC_012660.1	38675	39898	-	1224	79
PFLU_0037	NC_012660.1	40009	40902	+	894	41
PFLU_0038	NC_012660.1	40920	41243	-	324	735
PFLU_0039	NC_012660.1	41398	41610	+	213	456
PFLU_0040	NC_012660.1	41729	41953	+	225	891
PFLU_0041	NC_012660.1	42111	43109	-	999	187
PFLU_0042	NC_012660.1	43328	43756	+	429	644
PFLU_0043	NC_012660.1	43967	44203	+	237	77
PFLU_0044	NC_012660.1	44210	44629	-	420	68
PFLU_0045	NC_012660.1	44773	45813	+	1041	50
PFLU_0046	NC_012660.1	45904	46560	-	657	24
PFLU_0047	NC_012660.1	46560	47099	-	540	40
PFLU_0048	NC_012660.1	47193	49250	+	2058	272
PFLU_0049	NC_012660.1	49250	49522	+	273	53
PFLU_0050	NC_012660.1	49602	50264	-	663	30
PFLU_0051	NC_012660.1	50529	51278	+	750	15
PFLU_0052	NC_012660.1	51284	53065	+	1782	20
PFLU_0053	NC_012660.1	53075	54376	+	1302	59
PFLU_0054	NC_012660.1	54461	55516	+	1056	58
PFLU_0055	NC_012660.1	55771	56475	+	705	961
PFLU_0056	NC_012660.1	56564	58108	+	1545	160
PFLU_0057	NC_012660.1	58183	58827	-	645	271
PFLU_0058	NC_012660.1	59196	60320	+	1125	1031
PFLU_0059	NC_012660.1	60382	61965	+	1584	493
PFLU_0060	NC_012660.1	62107	62664	+	558	224
PFLU_0061	NC_012660.1	62703	63587	+	885	128
PFLU_0062	NC_012660.1	63600	63800	-	201	55
PFLU_0063	NC_012660.1	63829	64590	+	762	84
PFLU_0064	NC_012660.1	64559	65140	+	582	63
PFLU_0065	NC_012660.1	65154	66230	+	1077	158
PFLU_0066	NC_012660.1	66221	67117	+	897	183
PFLU_0067	NC_012660.1	67117	67749	+	633	110
PFLU_0068	NC_012660.1	67899	68666	-	768	144
PFLU_0069	NC_012660.1	68720	69391	-	672	35
PFLU_0070	NC_012660.1	69394	70398	-	1005	62
PFLU_0071	NC_012660.1	70664	72802	+	2139	1023
PFLU_0072	NC_012660.1	72874	73590	-	717	99
PFLU_0073	NC_012660.1	73631	74416	-	786	102
PFLU_0074	NC_012660.1	74412	75194	-	783	84
PFLU_0075	NC_012660.1	75197	75676	-	480	37
PFLU_0076	NC_012660.1	75735	76661	+	927	90
PFLU_0077	NC_012660.1	76792	77742	-	951	105
PFLU_0078	NC_012660.1	77802	78089	-	288	29
PFLU_0079	NC_012660.1	78152	80938	+	2787	409
PFLU_0080	NC_012660.1	81215	81853	-	639	263
PFLU_0081	NC_012660.1	82046	82345	+	300	850
PFLU_0082	NC_012660.1	82383	83006	+	624	362
PFLU_0083	NC_012660.1	83178	83810	+	633	374
PFLU_0084	NC_012660.1	83824	84699	+	876	357
PFLU_0085	NC_012660.1	84699	86750	+	2052	143
PFLU_0086	NC_012660.1	86842	87651	+	810	117
PFLU_0087	NC_012660.1	87717	89501	-	1785	414
PFLU_0088	NC_012660.1	89515	90858	-	1344	498
PFLU_0089	NC_012660.1	91238	91519	+	282	830
PFLU_0090	NC_012660.1	91601	91762	+	162	905
PFLU_0091	NC_012660.1	91768	92232	+	465	680
PFLU_0093	NC_012660.1	93000	94328	+	1329	102
PFLU_0094	NC_012660.1	94430	95656	+	1227	72
PFLU_0095	NC_012660.1	95755	96363	-	609	60
PFLU_0096	NC_012660.1	96363	97298	-	936	63
PFLU_0097	NC_012660.1	97303	98103	-	801	17
PFLU_0098	NC_012660.1	98103	99248	-	1146	40
PFLU_0099	NC_012660.1	99305	100333	-	1029	44
PFLU_0100	NC_012660.1	100409	101788	-	1380	91
PFLU_0101	NC_012660.1	101849	103504	-	1656	106
PFLU_0102	NC_012660.1	103911	104675	-	765	169
PFLU_0103	NC_012660.1	104747	106051	-	1305	33
PFLU_0104	NC_012660.1	106432	108390	-	1959	99
PFLU_0105	NC_012660.1	108390	108707	-	318	107
PFLU_0106	NC_012660.1	108749	109054	-	306	42
PFLU_0107	NC_012660.1	109161	109478	-	318	60
PFLU_0108	NC_012660.1	109618	109800	-	183	2
PFLU_0109	NC_012660.1	110067	110279	-	213	41
PFLU_0110	NC_012660.1	110601	112091	-	1491	73
PFLU_0111	NC_012660.1	112274	113707	-	1434	43
PFLU_0112	NC_012660.1	113710	114027	-	318	5
PFLU_0113	NC_012660.1	114046	115164	-	1119	36
PFLU_0114	NC_012660.1	115620	116516	-	897	109
PFLU_0115	NC_012660.1	116675	117853	+	1179	221
PFLU_0116	NC_012660.1	117869	119086	+	1218	80
PFLU_0117	NC_012660.1	125625	127502	+	1878	45
PFLU_0118	NC_012660.1	127548	128003	-	456	7
PFLU_0119	NC_012660.1	128026	131394	-	3369	56
