"PFLU","WT.FC.Ac","WS1.FC","WS1.FC.Ac","WFE.FC","WFE.FC.Ac","Gene.Name","Product.Description","GO.Term"
"PFLU_0030",-1.68135682001586,0.011175331273504,-2.06742937811387,-0.388433911970712,-1.66929723654477,"PFLU_0030","putative 2-dehydro-3-deoxygalactonokinase","2-dehydro-3-deoxygalactonokinase activity"
"PFLU_0109",4.94581490356914,3.22453406992329,4.99420300770793,3.06804422141271,5.13193486546498,NA,NA,NA
"PFLU_0497",-0.34081023275816,-0.546968471925718,-1.64330175563516,-0.825224206947522,-0.853490808528482,"PFLU_0497","putative phosphoesterase","3',5'-cyclic-AMP phosphodiesterase activity"
"PFLU_0575",4.61860446794933,1.44568085530519,3.71699720291539,1.56685628973721,3.99073770305119,"cbpA","curved DNA-binding protein","protein folding"
"PFLU_0787",4.5699411296918,2.25768700077017,4.00133576110642,2.26715031512601,3.09535276263193,NA,NA,NA
"PFLU_1077",-6.88109026257662,0.131085886809036,-1.20700204233625,0.012496433860371,-0.787462717307934,NA,NA,NA
"PFLU_1302A",2.29771489092173,4.98466068533856,7.53105348499642,3.97712869042486,6.27904978404558,"capB","cold shock protein","nucleic acid binding"
"PFLU_1358",7.60874277523191,5.84188878863814,7.78087704351705,5.04718192032609,3.89023481487052,"PFLU_1358"," ATP-dependent helicase*",""
"PFLU_1412",5.41197229993231,3.70624520226611,3.74942883796784,3.2654857722827,4.47760881918123,"PFLU_1412","alcohol dehydrogenase","oxidoreductase activity"
"PFLU_1653",2.97859807014691,3.75585705480605,7.88737478160522,4.09132186250765,6.96988921180486,"PFLU_1653","putative transporter-like membrane protein","membrane"
"PFLU_1654",2.20473554881069,2.74723007250306,7.88239815103228,3.22078998443219,6.63102878283395,"PFLU_1654"," Putative glycosyltransferase protein*",""
"PFLU_1655",2.38056243775408,3.26108177109772,8.35980136352278,3.80875990421978,7.09396109317831,"PFLU_1655","Nucleotide-diphospho-sugar transferase",""
"PFLU_1853",-0.896643812532272,0.828574639238628,-1.23202168104783,0.571861497086107,-1.85462259172159,"PFLU_1853","short chain dehydrogenase","oxidoreductase activity"
"PFLU_2073",-0.584472208964558,-0.187132133368461,-0.205751728647009,-0.0689493573008675,-0.85836874924812,"PFLU_2073","Cytotoxic necrotizing factor*",""
"PFLU_2075",-1.73230027728497,0.402623458708114,0.593676005161806,0.650993471351936,0.147338476072985,"PFLU_2075","glycosyl transferase*",""
"PFLU_2104",-0.355006229542591,0.292660600556585,-1.06062758628723,-0.182407263810997,-0.843890966562507,"PFLU_2104","putative epimerase","diaminopimelate epimerase activity"
"PFLU_2219",-1.6842472616522,-1.21420381849425,-3.21448736442791,-1.39619388773198,-1.31105239031319,"PFLU_2219","hypothetical protein","protein binding"
"PFLU_2273",-0.441588542923673,-0.740058762066019,-1.4344615999542,-1.29168998304256,-0.851602166194551,"PFLU_2273","GntR family transcriptional regulator","DNA-binding transcription factor activity"
"PFLU_2294",-1.71858617382681,3.45147421195844,3.32443590867122,3.75572221705384,4.78604938788196,"lsc","levansucrase","carbohydrate utilization"
"PFLU_2310",-1.68006896954129,-0.298977322745515,-2.45124322370652,-0.351188584443986,-1.13544651070037,"PFLU_2310","putative monooxygenase","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"PFLU_2372",-1.72577143913916,-0.718922204505809,-1.43040425740373,-1.41667819977477,-0.601091676239861,"araF","L-arabinose ABC transporter substrate-binding periplasmic protein","L-arabinose transmembrane transport"
"PFLU_2409",-1.10193936418656,-0.404990625379832,-0.642321507880727,-0.693641427181777,-0.845509123795244,"PFLU_2409"," glyoxalase*",""
"PFLU_2465",-0.887399028997734,0.934874821636731,-1.2301659788541,0.513100909251538,-1.19656662081082,"PFLU_2465"," Phosphoserine phosphatase SerB* ",""
"PFLU_2698",0.217137346948876,0.0037465696588983,0.835966934105598,5.99773421734985,7.0872177794087,"fapD","amyloid fibril formation *","ATP binding"
"PFLU_2699",0.611837515477862,1.89729207470206,3.02484166290021,7.75763643526986,9.5278791502043,"fapC","amyloid fibril formation *",""
"PFLU_2700",2.20132912416858,4.93960682588568,6.12583330135792,9.77634504919792,10.0218107630174,"fapB","amyloid fibril formation *",""
"PFLU_2701",0.0168002006537034,1.27191822380002,2.17194187253964,6.85369538071927,8.11036792308874,"fapA"," amyloid fibril formation* ",""
"PFLU_2865",2.4143397479998,3.40311140846822,7.19512613229858,4.47871246009975,7.20984822043453,"PFLU_2865"," mRNA endoribonuclease LsoA*",""
"PFLU_2871",3.02879938284676,4.95891236432646,8.08960520176418,5.37293411170883,7.47457090522916,"PFLU_2871"," DNA-binding protein*",""
"PFLU_3008",-0.852891954331349,-0.0264004220883432,-0.996418542549414,-0.51357067531233,-0.86611791261561,"PFLU_3008","putative GerE family transcriptional regulator","regulation of transcription, DNA-templated"
"PFLU_3026",0.306568601319954,-1.65756982290906,-1.66699388962985,-1.86316467654507,-0.861203741953502,"yneE","swarming motility protein",""
