Geneid	Chr	Start	End	Strand	Length	WT3_S11
PFLU_0001	NC_012660.1	1	1503	+	1503	487
PFLU_0002	NC_012660.1	1545	2645	+	1101	436
PFLU_0003	NC_012660.1	2669	3769	+	1101	379
PFLU_0004	NC_012660.1	3777	6191	+	2415	536
PFLU_0005	NC_012660.1	6302	7021	-	720	305
PFLU_0006	NC_012660.1	7284	8237	+	954	177
PFLU_0007	NC_012660.1	8244	10520	+	2277	85
PFLU_0008	NC_012660.1	10709	11476	-	768	116
PFLU_0009	NC_012660.1	11562	12095	-	534	250
PFLU_0010	NC_012660.1	12101	14152	-	2052	356
PFLU_0011	NC_012660.1	14152	15102	-	951	228
PFLU_0012	NC_012660.1	15184	15738	+	555	43
PFLU_0013	NC_012660.1	15784	16668	+	885	162
PFLU_0014	NC_012660.1	16809	17117	-	309	29
PFLU_0015	NC_012660.1	17261	18631	-	1371	260
PFLU_0016	NC_012660.1	18657	19964	-	1308	88
PFLU_0017	NC_012660.1	19964	20914	-	951	46
PFLU_0018	NC_012660.1	20987	21490	-	504	391
PFLU_0019	NC_012660.1	21626	22414	+	789	13
PFLU_0020	NC_012660.1	22481	23572	+	1092	344
PFLU_0021	NC_012660.1	23630	24184	+	555	226
PFLU_0022	NC_012660.1	24338	25312	-	975	496
PFLU_0023	NC_012660.1	25472	26401	+	930	86
PFLU_0024	NC_012660.1	26404	27219	+	816	61
PFLU_0025	NC_012660.1	27277	28842	-	1566	114
PFLU_0026	NC_012660.1	28943	29854	-	912	72
PFLU_0027	NC_012660.1	29876	31387	-	1512	73
PFLU_0028	NC_012660.1	31491	32438	+	948	154
PFLU_0029	NC_012660.1	32455	32799	+	345	62
PFLU_0030	NC_012660.1	32899	33855	+	957	480
PFLU_0031	NC_012660.1	33860	34477	+	618	177
PFLU_0032	NC_012660.1	34529	35674	+	1146	186
PFLU_0033	NC_012660.1	35793	37100	+	1308	26
PFLU_0034	NC_012660.1	37289	37726	-	438	132
PFLU_0035	NC_012660.1	37866	38672	-	807	331
PFLU_0036	NC_012660.1	38675	39898	-	1224	184
PFLU_0037	NC_012660.1	40009	40902	+	894	77
PFLU_0038	NC_012660.1	40920	41243	-	324	314
